40277,M.S.Drum 205 Ltr,Export
40306,Reject Brunt Mobil,Export
40347,Reject Gas Cylinder,Export
40695,Empty Flour bag Plastic,Export
40806,Empty Flour bag Rat Cutter(Plastic),Export
40823,SS Kettle,Export
40841,Hand Pump (M/W),Export
40903,Empty Plastic Glucose Drun 300 kg Big Cap(Used),Export
40935,Empty Plastic Glucose Drum 165 kg,Export
40939,Micro Ink Tin Jar 20 KG,Export
40942,Ethyl Acetate MS Drum 180 KG,Export
41006,Fresh Broken Toast-250gm,Export
41098,Reject Paper Caton (Packmat),Export
41122,Scrap--Burned Soybean Oil(cafeteria),Export
41143,Broken Dry Cake-250gm,Export
41164,Empty Jute Bag (Ave) Size,Export
41177,Empty Orange Concentrate Drum 260 kg,Export
41179,Reject Cable Cut pcs silver,Export
41202,Nutural Cloudiness Flavour,Export
41222,Reject Khamir (R & D),Export
41235,Liquid Carbon DI Oxide,Export
41254,Xanthan gum,Export
41257,Empty Takenate Tin Jar 18 Kg  (Bad),Export
41265,KHURMA KHEJUR,Export
41318,REJECT BLUE CLOSURE,Export
41331,Bita ---Carrotine,Export
41347,Wastage Polythine Hi brush Dirty,Export
41355,Dextrose Monohydrate,Export
41459,Reject Pre-form Mix Color Burnt,Export
41475,Reject Dry fish,Export
41565,WASTAGE BROKEN TOAST,Export
41583,Coconut copra,Export
41731,Reject Panch Foron (Whole)MR,Export
41875,Reject Pre-Form Oskar,Export
41883,Scrap-MUSTARD OIL CAKE,Export
41886,Scrap ?Tamarind seed,Export
42021,Empty Plastic Drum 125 kg,Export
42115,Jar Handle 5 gm,Export
42133,Empty Cup Jelly Cup 20gm,Export
42140,Litchi Cup 12 gm,Export
42143,Stretch Film 29 µ,Export
42155,Foil School Tiffin Box-Bondhon,Export
42156,HSF For Mr.Noodles Mug,Export
42158,Sampling cup,Export
42160,Preform 29.81gm clear CSD conversion,Export
42161,Preform 29.81 gm green CSD conversion,Export
42177,Reject Pet Bottle Mixed Color,Export
42178,CPP25,Export
42235,PrintingFoil MATBOPP,Export
42822,PRAN Carton Shed Loading Bay-N,Export
42832,Takerhat Depot roof renovation work,Export
43121,"Teer Atta, Flour, Semolina",Export
43158,Dora Tiffin Box (Winner),Export
43166,Drinkit Water Purifier ? Blue,Export
43202,Jhalmuri Hanger,Export
43233,T-Shirt (Potato Cracker),Export
43313,T-Shirt (Potatos),Export
44141,"PFI Panel, 1800 KVAR",Export
